company_name,domain,score,num_pages,pages_with_both,distinct_queries,serp_snippet_hits,avg_proximity,avg_page_length,social_flag,num_pages_scaled,pages_with_both_scaled,distinct_queries_scaled,serp_snippet_hits_scaled,inv_proximity_scaled,avg_page_length_scaled,country,date_collected
Trustonic,trustonic.com,0.09132935154714429,2,2,2,4,8.5,6938.5,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.04938271604938271,0.21052631578947367,0.0001384927541253715,Mali,2026-03-20
HPS Worldwide,hps-worldwide.com,0.08615190291236939,2,2,2,2,9.5,1466891.0,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.024691358024691357,0.19047619047619047,0.029279206542007687,Mali,2026-03-20
Blogs Worldbank,blogs.worldbank.org,0.08534950457204281,3,3,3,5,86.66666666666667,9921.666666666666,0,0.06451612903225806,0.10344827586206896,0.14285714285714285,0.06172839506172839,0.022813688212927754,0.00019803688724948632,Mali,2026-03-20
Theses HAL Science,theses.hal.science,0.08132102012720602,2,2,2,2,11.0,1542991.5,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.024691358024691357,0.16666666666666666,0.030798175747933726,Mali,2026-03-20
Finances ML,finances.ml,0.08046342661722343,2,2,2,2,11.0,709460.5,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.024691358024691357,0.16666666666666666,0.014160861654271547,Mali,2026-03-20
Mastercard,mastercard.com,0.08021686449340801,3,1,2,1,8.0,13942.0,0,0.06451612903225806,0.034482758620689655,0.07142857142857142,0.012345679012345678,0.2222222222222222,0.0002782829110061151,Mali,2026-03-20
Bnda Mali,bnda-mali.com,0.07986254227680187,3,3,3,2,134.66666666666666,5598.0,0,0.06451612903225806,0.10344827586206896,0.14285714285714285,0.024691358024691357,0.014742014742014743,0.00011173631730112123,Mali,2026-03-20
Oumistore,oumistore.com,0.07973384539869585,2,2,2,2,11.0,350.0,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.024691358024691357,0.16666666666666666,6.986014836618869e-06,Mali,2026-03-20
Alios Finance,alios-finance.com,0.07963217660922453,2,2,2,3,11.5,497.0,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.037037037037037035,0.16,9.920141067998794e-06,Mali,2026-03-20
Publication,findevgateway.org,0.0771795525084608,2,2,2,2,12.0,86961.5,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.024691358024691357,0.15384615384615385,0.0017357552263275195,Mali,2026-03-20
Bibliosante ML,bibliosante.ml,0.07140569198453324,4,2,2,2,18.0,978891.5,0,0.0967741935483871,0.06896551724137931,0.07142857142857142,0.024691358024691357,0.10526315789473684,0.019538715835543143,Mali,2026-03-20
Southsouth Contentfiles,southsouth.contentfiles.net,0.07043048136369637,1,1,1,1,11.0,22760656.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.16666666666666666,0.454303658591938,Mali,2026-03-20
Agenceecofin,agenceecofin.com,0.06986573819810558,3,2,3,5,689.5,8595.666666666666,0,0.06451612903225806,0.06896551724137931,0.14285714285714285,0.06172839506172839,0.002896451846488052,0.00017156987103989597,Mali,2026-03-20
Impôts,fr.scribd.com,0.06708705314372143,2,1,2,1,11.0,2015.5,0,0.03225806451612903,0.034482758620689655,0.07142857142857142,0.012345679012345678,0.16666666666666666,4.022946543772952e-05,Mali,2026-03-20
Shop Sosh FR,shop.sosh.fr,0.06707998901862966,2,2,2,2,18.0,6824.0,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.024691358024691357,0.10526315789473684,0.0001362073292716776,Mali,2026-03-20
Banque Malienne de Solidarité,bms-sa.ml,0.06698884677850847,2,1,2,3,12.0,1721.5,0,0.03225806451612903,0.034482758620689655,0.07142857142857142,0.037037037037037035,0.15384615384615385,3.436121297496967e-05,Mali,2026-03-20
Options de données ...,gomoworld.com,0.06652296215759942,2,2,2,2,18.5,6318.0,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.024691358024691357,0.10256410256410256,0.00012610754782216575,Mali,2026-03-20
Bamakogadget,bamakogadget.com,0.06611397738726885,3,1,2,1,12.0,9346.0,0,0.06451612903225806,0.034482758620689655,0.07142857142857142,0.012345679012345678,0.15384615384615385,0.00018654655618011414,Mali,2026-03-20
Ubamali,ubamali.com,0.06571876010454235,2,1,2,2,12.0,4310.5,0,0.03225806451612903,0.034482758620689655,0.07142857142857142,0.024691358024691357,0.15384615384615385,8.603776272355896e-05,Mali,2026-03-20
Electronic Shop,electronicshop.biz,0.06550191336748382,4,1,2,1,13.0,525.25,0,0.0967741935483871,0.034482758620689655,0.07142857142857142,0.012345679012345678,0.14285714285714285,1.0484012265525889e-05,Mali,2026-03-20
Orange SN,orange.sn,0.06452688350697106,1,1,1,1,7.0,322671.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.25,0.006440526838133277,Mali,2026-03-20
Le Meilleur de vos achats en Ligne au ...,bondeal.org,0.06219034491669877,2,1,2,1,13.0,14137.5,0,0.03225806451612903,0.034482758620689655,0.07142857142857142,0.012345679012345678,0.14285714285714285,0.00028218509929342646,Mali,2026-03-20
Dgmp Gouv ML,dgmp.gouv.ml,0.061551905610539887,2,2,1,2,11.0,221453.0,0,0.03225806451612903,0.06896551724137931,0.0,0.024691358024691357,0.16666666666666666,0.0044202112674678815,Mali,2026-03-20
Atlantiqueespace,atlantiqueespace.com,0.061329460712347114,2,2,1,2,11.0,5249.5,0,0.03225806451612903,0.06896551724137931,0.0,0.024691358024691357,0.16666666666666666,0.00010478024252808787,Mali,2026-03-20
Mobile Club,mobile.club,0.06132860057856163,2,2,1,2,11.0,4413.5,0,0.03225806451612903,0.06896551724137931,0.0,0.024691358024691357,0.16666666666666666,8.809364708976395e-05,Mali,2026-03-20
Cfaoequipment Mali,cfaoequipment-mali.com,0.061324663614530366,2,2,1,2,11.0,587.0,0,0.03225806451612903,0.06896551724137931,0.0,0.024691358024691357,0.16666666666666666,1.171654488312936e-05,Mali,2026-03-20
Finapps TN,finapps.tn,0.059742845367873505,1,1,1,2,8.0,2502.0,0,0.0,0.034482758620689655,0.0,0.024691358024691357,0.2222222222222222,4.994002606062975e-05,Mali,2026-03-20
